	verdict	intersection
50	198680.json	['19', '358', '371', '512', '607', '744', '980', '992', '1030', '1213']
51	198681.json	['1', '178', '426', '433', '620', '951', '1059', '1204', '1205', '1213', '1234', '1238', '1270', '1315', '1351', '1363']
52	198683.json	['6', '23', '256', '428', '478', '530', '815', '1085', '1179', '1330']
53	198684.json	['19', '44', '102', '347', '362', '428', '430', '433', '465', '530', '757', '785', '796', '886', '1058', '1059', '1234', '1350']
54	198685.json	['373', '374', '375', '376', '377', '378', '379', '380', '381', '436', '437', '438', '439', '440', '441', '442', '443', '444', '445', '446', '447', '448', '449', '450', '451', '452', '453', '454', '455', '456', '457', '458', '459', '460', '461', '462', '463', '464', '465', '466', '467', '468', '469', '470', '471', '472', '473', '474', '475', '476', '477', '478', '479', '480', '481', '482', '483', '484', '485', '486', '487', '488', '489', '490', '491', '492', '493', '494', '495', '496', '497', '498', '499', '500', '501', '502', '503', '504', '505', '506', '507', '508', '509', '510', '511', '512', '513', '514', '515', '516', '517', '518', '519', '520', '522']
55	198687.json	['111', '146', '225', '358', '538', '563', '578', '703', '734', '781', '987', '1077', '1168', '1229']
56	198689.json	['251', '260', '268', '398', '409', '428', '458', '530', '1121', '1185', '1226', '1255']
57	198690.json	['789', '797', '946', '952', '1226']
58	198691.json	['21', '86', '299', '309', '364', '447', '510', '591', '599', '702', '733', '750', '968', '969', '1003', '1007', '1195', '1277', '1309', '1375']
59	198692.json	['18', '724', '770', '940', '979', '996', '1221']
60	198693.json	['86', '591', '1375']
61	198694.json	['48', '218', '398', '530', '591', '705', '760', '770', '779', '979', '1082']
62	198695.json	['92', '154', '155', '478', '510', '733', '818', '850', '1007', '1093']
63	198696.json	['18', '241', '343', '398', '510', '543', '662', '666', '770', '797', '952', '979', '983', '1155', '1197', '1277']
64	198697.json	['37', '126', '236', '266', '279', '400', '448', '463', '489', '610', '635', '637', '691', '704', '788', '885', '958', '1000', '1026', '1046', '1056', '1065', '1126', '1159', '1161', '1173', '1196', '1338', '1393']
65	198699.json	['76', '167', '206', '409', '468', '590', '601', '664', '692', '762', '797', '799', '818', '946', '953', '999', '1071', '1110', '1195', '1210']
66	198700.json	['6', '79', '232', '264', '537', '641', '673', '720', '779', '818', '946', '983', '1033', '1093', '1113', '1155', '1181']
67	198701.json	['73', '86', '92', '109', '154', '157', '411', '510', '524', '543', '736', '797', '818', '850', '1109', '1141', '1181', '1253', '1319']
68	198703.json	['37', '126', '165', '203', '236', '266', '325', '345', '361', '400', '408', '437', '448', '454', '470', '502', '603', '625', '635', '637', '653', '691', '698', '795', '885', '958', '1026', '1046', '1065', '1126', '1159', '1161', '1162', '1173', '1220', '1259', '1338', '1376']
69	198704.json	['39', '164', '210', '404', '410', '433', '443', '474', '573', '710', '743', '796', '829', '886', '924', '941', '1023', '1024', '1030', '1103', '1204', '1213', '1231', '1238', '1279', '1315']
70	198705.json	['37', '112', '121', '126', '203', '214', '224', '236', '291', '319', '345', '437', '454', '463', '477', '489', '502', '545', '610', '635', '691', '698', '795', '836', '859', '874', '993', '1000', '1026', '1046', '1065', '1102', '1126', '1132', '1136', '1144', '1153', '1154', '1159', '1161', '1173', '1200', '1220', '1246', '1335', '1338', '1367', '1376']
71	198706.json	['6', '19', '242', '843', '853', '959', '1128', '1149']
72	198707.json	['115', '167', '231', '242', '328', '371', '484', '538', '632', '781', '785', '794', '828', '890', '1035', '1128', '1281', '1302', '1322']
73	198708.json	['338', '478', '513', '779', '789', '1250', '1330']
74	198710.json	['30', '155', '253', '616', '641', '733', '783', '818', '945', '946', '1093']
75	198711.json	['118', '185', '311', '338', '443', '604', '608', '796', '1029', '1250']
76	198712.json	['398', '530', '666', '1193', '1226', '1277']
77	198713.json	['591', '724', '797', '946', '979', '1197', '1277', '1375', '1385']
78	198714.json	['510', '733', '779', '789', '946', '952', '968']
79	198715.json	['242', '530', '695', '843', '853', '886']
80	198717.json	['111', '226', '616', '646', '893', '953', '999', '1158']
81	198718.json	['74', '146', '361', '417', '475', '489', '616', '696', '698', '708', '788', '806', '885', '958', '1026', '1065', '1119', '1132', '1144', '1170', '1338']
82	198719.json	['74', '89', '111', '182', '228', '291', '293', '341', '399', '475', '484', '502', '586', '607', '708', '723', '744', '752', '791', '858', '862', '1022', '1035', '1078', '1122', '1136', '1144', '1149', '1180', '1220', '1322', '1338', '1367']
83	198720.json	['19', '23', '102', '362', '433', '530', '843', '886', '1350']
84	198721.json	['760', '770', '779', '1277']
85	198722.json	['162', '166', '190', '252', '262', '317', '330', '339', '340', '344', '570', '582', '722', '734', '738', '783', '786', '798', '803', '822', '823', '920', '925', '945', '949', '976', '1034', '1133', '1182', '1229', '1233', '1278', '1298', '1303']
86	198724.json	['15', '147', '158', '448', '641', '680', '789', '1113', '1156', '1158', '1377']
87	198725.json	['38', '73', '92', '241', '398', '524', '543', '666', '736', '797', '996', '1082', '1141', '1155', '1181', '1277', '1319', '1375']
88	198726.json	['92', '591', '659', '662', '702', '797', '979', '1007', '1135']
89	198727.json	['19', '428', '779', '796', '1255']
90	198728.json	['18', '116', '458', '459', '591', '724', '797', '850', '855', '979', '996', '1109', '1135', '1197', '1223', '1265']
91	198729.json	['92', '154', '241', '398', '411', '591', '659', '702', '705', '797', '979', '1007', '1082']
92	198730.json	['146', '203', '756', '791', '836', '1035', '1200', '1232', '1259', '1338', '1356', '1366', '1376']
93	198732.json	['14', '15', '92', '616', '641', '680', '953', '1093', '1119']
94	198733.json	['86', '92', '241', '398', '591', '659', '724', '818', '943', '946', '979', '1007', '1033', '1277', '1375']
